series_animedb_id,Anime Title,Anime Type,Episode Count,Watched Episodes,My Start Date,My Finish Date,My Score,My Status,Tags
52034,"""Oshi no Ko""",TV,11,11,26-04-2023,28-06-2023,9,Completed,
55791,"""Oshi no Ko"" 2nd Season",TV,13,13,03-07-2024,06-10-2024,9,Completed,
60058,"""Oshi no Ko"" 3rd Season",TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
40679,2.43: Seiin Koukou Danshi Volley-bu,TV,12,2,08-01-2021,0000-00-00,5,Dropped,Imagine using the same sfx as Star platinum's punches on volleyball spikes. Who tf does that? Inferior haikyuu.
53802,2.5-jigen no Ririsa,TV,24,14,13-07-2024,0000-00-00,0,Watching,
31646,3-gatsu no Lion,TV,22,22,0000-00-00,0000-00-00,9,Completed,
35180,3-gatsu no Lion 2nd Season,TV,22,22,0000-00-00,0000-00-00,10,Completed,#1
54757,3-nen Z-gumi Ginpachi-sensei,Unknown,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
41457,86,TV,11,11,13-04-2021,25-06-2021,9,Completed,
48569,86 Part 2,TV,12,12,04-10-2021,20-03-2022,10,Completed,
49520,Aharen-san wa Hakarenai,TV,12,3,03-04-2022,0000-00-00,6,Dropped,"Wholesome != Boring, slow and bland. Take notes from Yuru Camp."
22199,Akame ga Kill!,TV,24,24,0000-00-00,0000-00-00,6,Completed,A decent anime that turned shit. You don't just kill all the main characters.
25013,Akatsuki no Yona,TV,24,24,0000-00-00,0000-00-00,6,Completed,
48553,Akebi-chan no Sailor-fuku,TV,12,12,10-01-2022,27-03-2022,8,Completed,
6547,Angel Beats!,TV,13,13,01-05-2020,04-05-2020,9,Completed,
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,11,14-10-2019,16-10-2019,7,Completed,
24833,Ansatsu Kyoushitsu,TV,22,22,0000-00-00,24-08-2019,8,Completed,
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,25,0000-00-00,27-08-2019,9,Completed,
49052,Ao Ashi,TV,24,24,10-04-2022,24-09-2022,9,Completed,
57181,Ao no Hako,TV,25,0,0000-00-00,0000-00-00,0,Plan to Watch,
51614,Ao no Orchestra,TV,24,24,29-04-2023,09-10-2023,6,Completed,
56877,Ao no Orchestra 2nd Season,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
38753,Araburu Kisetsu no Otome-domo yo.,TV,12,12,08-09-2019,21-09-2019,4,Completed,This anime started out fun but quickly got uncomfortable to watch
37171,Asobi Asobase,TV,12,12,08-03-2022,11-03-2022,9,Completed,
37996,Asobi Asobase: Cosplay Taikai/Otona no Watashi e,OVA,1,1,15-03-2022,15-03-2022,9,Completed,
37525,Babylon,TV,12,3,10-10-2019,0000-00-00,5,Dropped,"At first you think its deep and complex, but it's not, its simply dumb"
2251,Baccano!,TV,13,13,0000-00-00,0000-00-00,8,Completed,
3901,Baccano! Specials,Special,3,3,0000-00-00,18-02-2020,8,Completed,
5081,Bakemonogatari,TV,15,15,0000-00-00,0000-00-00,8,Completed,
7674,Bakuman.,TV,25,0,0000-00-00,0000-00-00,0,Plan to Watch,
10030,Bakuman. 2nd Season,TV,25,0,0000-00-00,0000-00-00,0,Plan to Watch,
12365,Bakuman. 3rd Season,TV,25,0,0000-00-00,0000-00-00,0,Plan to Watch,
34636,Ballroom e Youkoso,TV,24,0,0000-00-00,0000-00-00,0,Plan to Watch,
22789,Barakamon,TV,12,12,0000-00-00,0000-00-00,8,Completed,
53407,Bartender: Kami no Glass,TV,12,12,06-04-2024,20-06-2024,8,Completed,
39195,Beastars,TV,12,12,20-11-2019,27-12-2019,8,Completed,
40935,Beastars 2nd Season,TV,12,12,12-01-2021,28-03-2021,9,Completed,
49469,Beastars Final Season,ONA,0,0,0000-00-00,0000-00-00,0,Plan to Watch,
57,Beck,TV,26,0,0000-00-00,0000-00-00,0,Plan to Watch,
9513,Beelzebub,TV,60,60,27-02-2020,12-03-2020,7,Completed,
34572,Black Clover,TV,170,170,09-02-2020,30-03-2021,6,Completed,"You have to sit through almost 60 episodes of deafening screaming, bad plot, horrible villians and awful animation to get to the good part which may honestly not be worth it for everyone and then rinse repeat."
48585,Black Clover: Mahou Tei no Ken,Movie,1,1,05-08-2023,05-08-2023,8,Completed,
34618,Blend S,TV,12,12,0000-00-00,21-08-2019,7,Completed,
50183,Blue Giant,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
49596,Blue Lock,TV,24,24,10-10-2022,26-03-2023,9,Completed,
54865,Blue Lock vs. U-20 Japan,TV,14,1,06-10-2024,0000-00-00,0,Watching,
54866,Blue Lock: Episode Nagi,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,
46352,Blue Period,TV,12,12,12-10-2021,12-12-2021,8,Completed,
47917,Bocchi the Rock!,TV,12,12,10-10-2022,25-12-2022,10,Completed,
31043,Boku dake ga Inai Machi,TV,12,12,0000-00-00,0000-00-00,9,Completed,
31964,Boku no Hero Academia,TV,13,13,0000-00-00,0000-00-00,8,Completed,
33486,Boku no Hero Academia 2nd Season,TV,25,25,0000-00-00,0000-00-00,9,Completed,
36456,Boku no Hero Academia 3rd Season,TV,25,25,0000-00-00,0000-00-00,8,Completed,
38408,Boku no Hero Academia 4th Season,TV,25,25,12-10-2019,05-04-2020,7,Completed,Perhaps focusing too much on the emotional value has dropped the quality in story writing of the show
41587,Boku no Hero Academia 5th Season,TV,25,25,29-03-2021,25-09-2021,7,Completed,
49918,Boku no Hero Academia 6th Season,TV,25,25,02-10-2022,26-03-2023,9,Completed,
54789,Boku no Hero Academia 7th Season,TV,21,20,05-05-2024,0000-00-00,0,Watching,
36896,Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1,1,16-04-2021,16-04-2021,8,Completed,
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,Movie,1,1,16-04-2021,16-04-2021,8,Completed,
44200,Boku no Hero Academia the Movie 3: World Heroes' Mission,Movie,1,1,02-10-2022,02-10-2022,6,Completed,
52578,Boku no Kokoro no Yabai Yatsu,TV,12,12,03-04-2023,18-06-2023,8,Completed,
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13,13,08-01-2024,01-04-2024,10,Completed,The most likeable characters of any anime I have seen yet.
40904,Bokutachi no Remake,TV,12,12,07-07-2021,25-09-2021,8,Completed,
31478,Bungou Stray Dogs,TV,12,12,0000-00-00,0000-00-00,7,Completed,
32867,Bungou Stray Dogs 2nd Season,TV,12,12,0000-00-00,0000-00-00,8,Completed,
38003,Bungou Stray Dogs 3rd Season,TV,12,12,0000-00-00,0000-00-00,8,Completed,
50330,Bungou Stray Dogs 4th Season,TV,13,13,05-01-2023,30-03-2023,9,Completed,
54898,Bungou Stray Dogs 5th Season,TV,11,11,13-07-2023,20-09-2023,9,Completed,
12293,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,TV,13,13,0000-00-00,0000-00-00,6,Completed,
